City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Kitimat,CA,54.05,-128.65,41.0,94,100,3.29,light rain
131,Tiksi,RU,71.69,128.87,23.09,95,77,11.41,broken clouds
132,Chokurdakh,RU,70.63,147.92,22.93,97,81,6.13,broken clouds
133,Muli,MV,2.92,73.57,83.28,76,99,14.0,overcast clouds
134,Aklavik,CA,68.22,-135.01,33.8,100,90,4.7,overcast clouds
135,Kaeo,NZ,-35.1,173.78,57.99,74,94,5.99,overcast clouds
136,Hambantota,LK,6.12,81.12,78.8,88,40,5.82,scattered clouds
137,Palanpur,IN,24.17,72.43,83.35,32,0,2.66,clear sky
138,Aktash,RU,50.3,87.73,13.96,85,19,2.95,few clouds
139,Mount Gambier,AU,-37.83,140.77,46.4,100,35,9.17,scattered clouds
140,Caxito,AO,-8.58,13.66,78.8,74,40,11.41,scattered clouds
141,Husavik,IS,66.04,-17.34,42.8,75,20,16.11,few clouds
142,Lloret De Mar,ES,41.7,2.85,69.01,91,71,5.01,broken clouds
143,Ayan,RU,56.45,138.17,45.64,62,0,5.7,clear sky
144,Dao,PH,11.39,122.69,76.53,89,100,1.83,light rain
145,Batala,IN,31.82,75.2,77.0,61,0,3.58,smoke
146,Portland,US,45.52,-122.68,57.99,87,75,5.82,broken clouds
147,Sisimiut,GL,66.94,-53.67,41.16,69,65,12.55,broken clouds
148,Camacha,PT,33.08,-16.33,75.2,60,40,13.87,scattered clouds
149,Batetskiy,RU,58.65,30.3,55.63,80,95,6.22,overcast clouds
150,Omsukchan,RU,62.53,155.8,21.58,91,83,5.35,broken clouds
151,Campechuela,CU,20.23,-77.28,83.61,68,46,3.78,scattered clouds
152,Bilma,NE,18.69,12.92,98.91,11,78,7.92,broken clouds
153,Saint Anthony,US,45.02,-93.22,71.01,64,1,9.17,clear sky
154,Lavrentiya,RU,65.58,-171.0,40.44,91,100,13.35,light rain
155,Grand Gaube,MU,-20.01,57.66,75.99,80,1,3.0,clear sky
156,Christchurch,NZ,-43.53,172.63,50.0,93,7,5.82,clear sky
157,Guerrero Negro,MX,27.98,-114.06,73.33,69,0,13.71,clear sky
158,Te Anau,NZ,-45.42,167.72,39.72,89,56,0.56,broken clouds
159,Sobolevo,RU,54.43,31.9,50.59,93,100,9.1,light rain
160,Vanimo,PG,-2.67,141.3,79.32,81,100,2.77,light rain
161,Kungalv,SE,57.87,11.98,53.01,76,69,1.01,light rain
162,Bintulu,MY,3.17,113.03,77.0,94,40,5.82,light rain
163,Nisia Floresta,BR,-6.09,-35.21,86.0,62,75,13.87,broken clouds
164,Faanui,PF,-16.48,-151.75,77.63,79,0,18.05,clear sky
165,Pochutla,MX,15.74,-96.47,68.0,82,75,3.02,broken clouds
166,Lianran,CN,24.92,102.48,59.0,100,5,3.24,clear sky
167,Thompson,CA,55.74,-97.86,26.6,92,90,16.11,light snow
168,Bathsheba,BB,13.22,-59.52,84.2,74,75,6.93,shower rain
169,Saint-Georges,GD,12.06,-61.75,87.8,74,75,2.24,broken clouds
170,San Jose,US,37.34,-121.89,62.6,72,90,3.36,overcast clouds
171,Tommot,RU,58.96,126.29,35.17,81,100,2.53,overcast clouds
172,Bakchar,RU,57.02,82.07,30.07,98,97,5.06,overcast clouds
173,Keokuk,US,40.4,-91.38,73.99,77,1,9.17,clear sky
174,Saldanha,ZA,-33.01,17.94,62.6,48,0,21.92,clear sky
175,Ribeira Grande,PT,38.52,-28.7,73.4,88,20,6.93,few clouds
176,Lompoc,US,34.64,-120.46,57.2,93,90,3.36,overcast clouds
177,Weligama,LK,5.97,80.42,79.39,85,88,8.9,overcast clouds
178,Duldurga,RU,50.68,113.59,32.27,95,2,4.36,clear sky
179,Roscrea,IE,52.95,-7.8,48.99,75,36,3.0,light rain
180,Maniitsoq,GL,65.42,-52.9,42.22,66,100,8.59,overcast clouds
181,Codrington,AU,-38.27,141.97,45.82,96,28,9.33,scattered clouds
182,Bridlington,GB,54.08,-0.19,51.8,62,95,12.75,overcast clouds
183,South Venice,US,27.05,-82.42,88.0,66,20,13.87,few clouds
184,Pando,UY,-34.72,-55.95,71.6,33,20,17.22,few clouds
185,Pokhara,NP,28.23,83.98,69.89,71,5,3.18,clear sky
186,Catarama,EC,-1.58,-79.47,91.94,41,47,3.42,scattered clouds
187,Arman,RU,59.7,150.17,34.5,81,0,11.05,clear sky
188,Srednekolymsk,RU,67.45,153.68,23.94,98,89,4.52,overcast clouds
189,Omalur,IN,11.74,78.05,76.93,84,75,1.81,heavy intensity rain
190,Chuy,UY,-33.7,-53.46,69.64,46,0,10.96,clear sky
191,Charters Towers,AU,-20.1,146.27,65.59,78,90,2.84,overcast clouds
192,Olafsvik,IS,64.89,-23.71,45.54,75,0,10.27,clear sky
193,Bako,ET,5.78,36.57,68.58,75,50,4.83,scattered clouds
194,Aniche,FR,50.33,3.25,59.0,58,58,3.0,broken clouds
195,Vao,NC,-22.67,167.48,72.63,86,2,16.53,clear sky
196,Kenai,US,60.55,-151.26,46.99,70,75,16.11,broken clouds
197,Presidente Medici,BR,-11.18,-61.9,103.62,22,14,5.91,few clouds
198,Batagay-Alyta,RU,67.8,130.41,19.96,89,63,4.18,broken clouds
199,Margate,GB,51.38,1.39,57.99,65,87,1.99,light rain
200,Haines Junction,CA,60.75,-137.51,32.81,92,92,1.57,overcast clouds
201,Esperance,AU,-33.87,121.9,59.0,100,90,10.29,overcast clouds
202,Cabo San Lucas,MX,22.89,-109.91,84.99,51,5,5.82,clear sky
203,Silver City,US,32.77,-108.28,73.99,16,40,6.93,scattered clouds
204,Mogadishu,SO,2.04,45.34,79.29,82,22,15.59,few clouds
205,Kieta,PG,-6.22,155.63,78.76,77,61,6.6,broken clouds
206,Abnub,EG,27.27,31.15,98.6,27,100,13.87,overcast clouds
207,Keti Bandar,PK,24.14,67.45,82.8,75,0,12.44,clear sky
208,Coquimbo,CL,-29.95,-71.34,60.8,67,38,13.87,scattered clouds
209,Mahebourg,MU,-20.41,57.7,75.2,83,40,5.82,scattered clouds
210,Tezu,IN,27.92,96.17,78.58,69,0,2.89,clear sky
211,Price,US,39.6,-110.81,55.4,26,1,4.7,clear sky
212,Dahra,DZ,36.25,0.85,86.0,35,65,11.41,broken clouds
213,Eenhana,NA,-17.47,16.33,89.69,11,11,10.42,few clouds
214,Caravelas,BR,-17.71,-39.25,87.55,53,22,12.06,few clouds
215,Lesnoy,RU,57.62,63.08,46.56,87,97,8.48,overcast clouds
216,East London,ZA,-33.02,27.91,62.6,82,89,5.82,overcast clouds
217,Port Hardy,CA,50.7,-127.42,53.6,93,90,14.99,light rain
218,Tamandare,BR,-8.76,-35.1,83.03,70,25,11.7,scattered clouds
219,Cidreira,BR,-30.18,-50.21,65.79,67,33,9.04,scattered clouds
220,Verkhnevilyuysk,RU,63.45,120.32,26.78,91,100,3.94,overcast clouds
221,Juiz De Fora,BR,-21.76,-43.35,78.33,70,100,4.7,heavy intensity rain
222,Provideniya,RU,64.38,-173.3,40.28,94,93,10.54,light rain
223,Alpinopolis,BR,-20.86,-46.39,91.08,29,80,9.69,light rain
224,Harper,LR,4.38,-7.72,79.65,80,48,12.37,scattered clouds
225,Ostrovnoy,RU,68.05,39.51,50.22,84,91,12.8,overcast clouds
226,Lodwar,KE,3.12,35.6,93.61,28,26,11.77,scattered clouds
227,Kutum,SD,14.2,24.67,88.3,19,1,4.83,clear sky
228,Vanavara,RU,60.34,102.28,24.46,94,79,8.99,broken clouds
229,Makakilo City,US,21.35,-158.09,73.4,78,1,3.36,clear sky
230,Los Llanos De Aridane,ES,28.66,-17.92,77.0,69,20,9.17,few clouds
231,Kudahuvadhoo,MV,2.67,72.89,83.44,74,100,10.27,light rain
232,Grindavik,IS,63.84,-22.43,48.2,66,43,19.46,scattered clouds
233,Saint-Augustin,CA,51.23,-58.65,39.4,74,100,16.55,light rain
234,Skibbereen,IE,51.55,-9.27,51.8,66,75,18.34,broken clouds
235,Quelimane,MZ,-17.88,36.89,77.0,73,75,12.75,broken clouds
236,Loiza,PR,18.43,-65.88,86.0,79,40,8.05,scattered clouds
237,Hasaki,JP,35.73,140.83,62.6,100,75,9.17,light rain
238,Walvis Bay,NA,-22.96,14.51,68.0,56,2,14.99,clear sky
239,Pisco,PE,-13.7,-76.22,64.0,93,90,5.82,mist
240,Lorengau,PG,-2.02,147.27,81.95,77,100,8.57,moderate rain
241,Verkhoyansk,RU,67.54,133.38,25.21,86,2,9.17,clear sky
242,Mandalgarh,IN,25.2,75.1,79.23,28,0,3.96,clear sky
243,Palasa,IN,18.77,84.42,79.68,84,22,1.59,few clouds
244,Waipawa,NZ,-41.41,175.52,50.0,71,76,4.7,broken clouds
245,Bosobolo,CD,4.18,19.9,77.95,81,77,1.97,broken clouds
246,Jipijapa,EC,-1.33,-80.58,78.8,69,75,4.7,broken clouds
